,County,Date,Index
151,Stanislaus,1/15/2020,100.55
152,Sutter,1/15/2020,101.99
153,Tehama,1/15/2020,107.43
154,Tulare,1/15/2020,101.97
155,Tuolumne,1/15/2020,107.85
156,Ventura,1/15/2020,112.84
157,Yolo,1/15/2020,107.65
158,Yuba,1/15/2020,103.1
159,Alameda,1/16/2020,107.14
160,Amador,1/16/2020,102.14
161,Butte,1/16/2020,105.22
162,Calaveras,1/16/2020,89.01
163,Colusa,1/16/2020,110.63
164,Contra Costa,1/16/2020,102.6
165,Del Norte,1/16/2020,134.61
166,El Dorado,1/16/2020,96.77
167,Fresno,1/16/2020,103.41
168,Glenn,1/16/2020,105.22
169,Humboldt,1/16/2020,103.95
170,Imperial,1/16/2020,111.66
171,Inyo,1/16/2020,117.18
172,Kern,1/16/2020,112.8
173,Kings,1/16/2020,105.62
174,Lake,1/16/2020,109.27
175,Lassen,1/16/2020,99.07
176,Los Angeles,1/16/2020,111.09
177,Madera,1/16/2020,102.72
178,Marin,1/16/2020,110.32
179,Mariposa,1/16/2020,85.72
180,Mendocino,1/16/2020,107.98
181,Merced,1/16/2020,103.94
182,Mono,1/16/2020,113.31
183,Monterey,1/16/2020,102.66
184,Napa,1/16/2020,101.92
185,Nevada,1/16/2020,88.41
186,Orange,1/16/2020,113.34
187,Placer,1/16/2020,102.76
188,Riverside,1/16/2020,111.09
189,Sacramento,1/16/2020,103.13
190,San Benito,1/16/2020,95.21
191,San Bernardino,1/16/2020,110.66
192,San Diego,1/16/2020,114.17
193,San Francisco,1/16/2020,101.92
194,San Joaquin,1/16/2020,99.65
195,San Luis Obispo,1/16/2020,116.38
196,San Mateo,1/16/2020,110.82
197,Santa Barbara,1/16/2020,112.88
198,Santa Clara,1/16/2020,105.51
199,Santa Cruz,1/16/2020,99.13
200,Shasta,1/16/2020,113.85
201,Siskiyou,1/16/2020,138.5
202,Solano,1/16/2020,103.74
203,Sonoma,1/16/2020,100.6
204,Stanislaus,1/16/2020,100.57
205,Sutter,1/16/2020,103.27
206,Tehama,1/16/2020,121.22
207,Tulare,1/16/2020,103.86
208,Tuolumne,1/16/2020,95.76
209,Ventura,1/16/2020,112.53
210,Yolo,1/16/2020,105.9
211,Yuba,1/16/2020,114.08
212,Alameda,1/17/2020,124.52
213,Amador,1/17/2020,135.68
214,Butte,1/17/2020,120.22
215,Calaveras,1/17/2020,121.29
216,Colusa,1/17/2020,140.67
217,Contra Costa,1/17/2020,121.76
218,Del Norte,1/17/2020,126.95
219,El Dorado,1/17/2020,142.74
220,Fresno,1/17/2020,121.7
221,Glenn,1/17/2020,126.73
222,Humboldt,1/17/2020,112.14
223,Imperial,1/17/2020,161.48
224,Inyo,1/17/2020,206.64
225,Kern,1/17/2020,145.44
226,Kings,1/17/2020,138.32
227,Lake,1/17/2020,126.09
228,Lassen,1/17/2020,124.66
229,Los Angeles,1/17/2020,127.76
230,Madera,1/17/2020,123.87
231,Marin,1/17/2020,123.46
232,Mariposa,1/17/2020,102.14
233,Mendocino,1/17/2020,123.24
234,Merced,1/17/2020,141.39
235,Mono,1/17/2020,210.03
236,Monterey,1/17/2020,132.55
237,Napa,1/17/2020,132.16
238,Nevada,1/17/2020,165.16
239,Orange,1/17/2020,135.6
240,Placer,1/17/2020,138.64
241,Riverside,1/17/2020,138.57
242,Sacramento,1/17/2020,123.79
243,San Benito,1/17/2020,125.5
244,San Bernardino,1/17/2020,140.5
245,San Diego,1/17/2020,130.18
246,San Francisco,1/17/2020,121.95
247,San Joaquin,1/17/2020,131.15
248,San Luis Obispo,1/17/2020,162.73
249,San Mateo,1/17/2020,124.59
250,Santa Barbara,1/17/2020,148.94
251,Santa Clara,1/17/2020,120.76
252,Santa Cruz,1/17/2020,120.2
253,Shasta,1/17/2020,118.65
254,Siskiyou,1/17/2020,138.77
255,Solano,1/17/2020,135.2
256,Sonoma,1/17/2020,119.46
257,Stanislaus,1/17/2020,116.69
258,Sutter,1/17/2020,119.73
259,Tehama,1/17/2020,135.8
260,Tulare,1/17/2020,122.16
261,Tuolumne,1/17/2020,128.54
262,Ventura,1/17/2020,132.88
263,Yolo,1/17/2020,148.56
264,Yuba,1/17/2020,118.83
265,Alameda,1/18/2020,114.0
266,Amador,1/18/2020,156.08
267,Butte,1/18/2020,117.22
268,Calaveras,1/18/2020,146.71
269,Colusa,1/18/2020,138.89
270,Contra Costa,1/18/2020,109.43
271,Del Norte,1/18/2020,116.94
272,El Dorado,1/18/2020,168.38
273,Fresno,1/18/2020,110.31
274,Glenn,1/18/2020,125.13
275,Humboldt,1/18/2020,115.47
276,Imperial,1/18/2020,151.48
277,Inyo,1/18/2020,142.97
278,Kern,1/18/2020,135.78
279,Kings,1/18/2020,124.21
280,Lake,1/18/2020,116.15
281,Lassen,1/18/2020,106.56
