County,Date,Index
Los Angeles,1/16/2020,111.09
Madera,1/16/2020,102.72
Marin,1/16/2020,110.32
Mariposa,1/16/2020,85.72
Mendocino,1/16/2020,107.98
Merced,1/16/2020,103.94
Mono,1/16/2020,113.31
Monterey,1/16/2020,102.66
Napa,1/16/2020,101.92
Nevada,1/16/2020,88.41
Orange,1/16/2020,113.34
Placer,1/16/2020,102.76
Riverside,1/16/2020,111.09
Sacramento,1/16/2020,103.13
San Benito,1/16/2020,95.21
San Bernardino,1/16/2020,110.66
San Diego,1/16/2020,114.17
San Francisco,1/16/2020,101.92
San Joaquin,1/16/2020,99.65
San Luis Obispo,1/16/2020,116.38
San Mateo,1/16/2020,110.82
Santa Barbara,1/16/2020,112.88
Santa Clara,1/16/2020,105.51
Santa Cruz,1/16/2020,99.13
Shasta,1/16/2020,113.85
Siskiyou,1/16/2020,138.5
Solano,1/16/2020,103.74
Sonoma,1/16/2020,100.6
Stanislaus,1/16/2020,100.57
Sutter,1/16/2020,103.27
Tehama,1/16/2020,121.22
Tulare,1/16/2020,103.86
Tuolumne,1/16/2020,95.76
Ventura,1/16/2020,112.53
Yolo,1/16/2020,105.9
Yuba,1/16/2020,114.08
Alameda,1/17/2020,124.52
Amador,1/17/2020,135.68
Butte,1/17/2020,120.22
Calaveras,1/17/2020,121.29
Colusa,1/17/2020,140.67
Contra Costa,1/17/2020,121.76
Del Norte,1/17/2020,126.95
El Dorado,1/17/2020,142.74
Fresno,1/17/2020,121.7
Glenn,1/17/2020,126.73
Humboldt,1/17/2020,112.14
Imperial,1/17/2020,161.48
Inyo,1/17/2020,206.64
Kern,1/17/2020,145.44
Kings,1/17/2020,138.32
Lake,1/17/2020,126.09
Lassen,1/17/2020,124.66
Los Angeles,1/17/2020,127.76
Madera,1/17/2020,123.87
Marin,1/17/2020,123.46
Mariposa,1/17/2020,102.14
Mendocino,1/17/2020,123.24
Merced,1/17/2020,141.39
Mono,1/17/2020,210.03
Monterey,1/17/2020,132.55
Napa,1/17/2020,132.16
Nevada,1/17/2020,165.16
Orange,1/17/2020,135.6
Placer,1/17/2020,138.64
Riverside,1/17/2020,138.57
Sacramento,1/17/2020,123.79
San Benito,1/17/2020,125.5
San Bernardino,1/17/2020,140.5
San Diego,1/17/2020,130.18
San Francisco,1/17/2020,121.95
San Joaquin,1/17/2020,131.15
San Luis Obispo,1/17/2020,162.73
San Mateo,1/17/2020,124.59
Santa Barbara,1/17/2020,148.94
Santa Clara,1/17/2020,120.76
Santa Cruz,1/17/2020,120.2
Shasta,1/17/2020,118.65
Siskiyou,1/17/2020,138.77
Solano,1/17/2020,135.2
Sonoma,1/17/2020,119.46
Stanislaus,1/17/2020,116.69
Sutter,1/17/2020,119.73
Tehama,1/17/2020,135.8
Tulare,1/17/2020,122.16
Tuolumne,1/17/2020,128.54
Ventura,1/17/2020,132.88
Yolo,1/17/2020,148.56
Yuba,1/17/2020,118.83
Alameda,1/18/2020,114
Amador,1/18/2020,156.08
Butte,1/18/2020,117.22
Calaveras,1/18/2020,146.71
Colusa,1/18/2020,138.89
Contra Costa,1/18/2020,109.43
Del Norte,1/18/2020,116.94
El Dorado,1/18/2020,168.38
Fresno,1/18/2020,110.31
Glenn,1/18/2020,125.13
Humboldt,1/18/2020,115.47
Imperial,1/18/2020,151.48
Inyo,1/18/2020,142.97
Kern,1/18/2020,135.78
Kings,1/18/2020,124.21
Lake,1/18/2020,116.15
Lassen,1/18/2020,106.56
Los Angeles,1/18/2020,121.16
Madera,1/18/2020,123.97
Marin,1/18/2020,118.99
Mariposa,1/18/2020,146.77
Mendocino,1/18/2020,124.38
Merced,1/18/2020,127.35
Mono,1/18/2020,237.19
Monterey,1/18/2020,147.03
Napa,1/18/2020,145.51
Nevada,1/18/2020,157.65
Orange,1/18/2020,129.15
Placer,1/18/2020,131.5
Riverside,1/18/2020,135.93
Sacramento,1/18/2020,112.78
San Benito,1/18/2020,123.34
San Bernardino,1/18/2020,123.23
San Diego,1/18/2020,121.53
San Francisco,1/18/2020,135.84
San Joaquin,1/18/2020,114.62
San Luis Obispo,1/18/2020,179.35
San Mateo,1/18/2020,103.31
Santa Barbara,1/18/2020,154.49
Santa Clara,1/18/2020,106.01
Santa Cruz,1/18/2020,117.63
Shasta,1/18/2020,111.06
Siskiyou,1/18/2020,149.09
Solano,1/18/2020,134.15
Sonoma,1/18/2020,115.25
Stanislaus,1/18/2020,109.54
Sutter,1/18/2020,114.99
Tehama,1/18/2020,134.83
Tulare,1/18/2020,117.79
Tuolumne,1/18/2020,186.54
Ventura,1/18/2020,128.37
Yolo,1/18/2020,120.23
Yuba,1/18/2020,121.49
Alameda,1/19/2020,85.41
Amador,1/19/2020,139.18
Butte,1/19/2020,93.48
Calaveras,1/19/2020,127.92
Colusa,1/19/2020,112.32
Contra Costa,1/19/2020,82.13
Del Norte,1/19/2020,113.77
El Dorado,1/19/2020,139.12
Fresno,1/19/2020,84.16
Glenn,1/19/2020,99.72
Humboldt,1/19/2020,102.73
Imperial,1/19/2020,123.87
Inyo,1/19/2020,148.05
Kern,1/19/2020,105
Kings,1/19/2020,101.64
Lake,1/19/2020,98.07
Lassen,1/19/2020,94.87
Los Angeles,1/19/2020,92.43
Madera,1/19/2020,100.49
Marin,1/19/2020,94.39
Mariposa,1/19/2020,157.08
Mendocino,1/19/2020,111.48
Merced,1/19/2020,111.55
Mono,1/19/2020,217.19
Monterey,1/19/2020,123.46
Napa,1/19/2020,116.69
Nevada,1/19/2020,128.58
Orange,1/19/2020,96.41
Placer,1/19/2020,97.54
Riverside,1/19/2020,103.74
Sacramento,1/19/2020,83.61
San Benito,1/19/2020,110.65
San Bernardino,1/19/2020,99.09
San Diego,1/19/2020,95.17
San Francisco,1/19/2020,100.8
San Joaquin,1/19/2020,83.98
San Luis Obispo,1/19/2020,151.33
San Mateo,1/19/2020,81.4
Santa Barbara,1/19/2020,129.98
Santa Clara,1/19/2020,88.15
Santa Cruz,1/19/2020,97.53
Shasta,1/19/2020,88.37
Siskiyou,1/19/2020,131.65
Solano,1/19/2020,96.41
Sonoma,1/19/2020,91.11
Stanislaus,1/19/2020,81.9
Sutter,1/19/2020,86.53
Tehama,1/19/2020,102.97
Tulare,1/19/2020,91.28
Tuolumne,1/19/2020,148.31
Ventura,1/19/2020,98.04
Yolo,1/19/2020,87.43
Yuba,1/19/2020,93.29
Alameda,1/20/2020,98.52
Amador,1/20/2020,130.96
Butte,1/20/2020,113.61
Calaveras,1/20/2020,131.48
Colusa,1/20/2020,128.54
Contra Costa,1/20/2020,95.18
Del Norte,1/20/2020,118.04
El Dorado,1/20/2020,153.37
Fresno,1/20/2020,100.12
Glenn,1/20/2020,114.84
Humboldt,1/20/2020,106.96
Imperial,1/20/2020,122.49
Inyo,1/20/2020,185.72
Kern,1/20/2020,120.06
Kings,1/20/2020,123.18
Lake,1/20/2020,109.51
Lassen,1/20/2020,103.35
Los Angeles,1/20/2020,100.56
Madera,1/20/2020,109.24
Marin,1/20/2020,104.44
Mariposa,1/20/2020,128.21
Mendocino,1/20/2020,119.56
Merced,1/20/2020,122.29
Mono,1/20/2020,185.17
Monterey,1/20/2020,122.41
Napa,1/20/2020,107.52
Nevada,1/20/2020,189.41
Orange,1/20/2020,106.98
Placer,1/20/2020,136.31
Riverside,1/20/2020,109.95
Sacramento,1/20/2020,97
San Benito,1/20/2020,104.03
San Bernardino,1/20/2020,111.38
San Diego,1/20/2020,103.74
San Francisco,1/20/2020,92.87
San Joaquin,1/20/2020,100.91
San Luis Obispo,1/20/2020,143.58
San Mateo,1/20/2020,90.78
Santa Barbara,1/20/2020,128.52
Santa Clara,1/20/2020,92.48
Santa Cruz,1/20/2020,102.67
Shasta,1/20/2020,101.63
Siskiyou,1/20/2020,135.7
Solano,1/20/2020,111.37
Sonoma,1/20/2020,99.86
Stanislaus,1/20/2020,94.7
Sutter,1/20/2020,103.56
Tehama,1/20/2020,109.34
Tulare,1/20/2020,103.65
Tuolumne,1/20/2020,145.05
Ventura,1/20/2020,110.53
Yolo,1/20/2020,110.68
Yuba,1/20/2020,101.86
Alameda,1/21/2020,108.8
Amador,1/21/2020,100.83
Butte,1/21/2020,115.22
Calaveras,1/21/2020,97.07
Colusa,1/21/2020,98.64
Contra Costa,1/21/2020,103.59
Del Norte,1/21/2020,105.45
El Dorado,1/21/2020,91.28
Fresno,1/21/2020,103.1
Glenn,1/21/2020,101.63
Humboldt,1/21/2020,100.41
Imperial,1/21/2020,101.4
Inyo,1/21/2020,89.39
Kern,1/21/2020,114.06
Kings,1/21/2020,106.5
Lake,1/21/2020,120
Lassen,1/21/2020,90.02
Los Angeles,1/21/2020,109.1
Madera,1/21/2020,100.18
Marin,1/21/2020,116.99
Mariposa,1/21/2020,96.56
Mendocino,1/21/2020,103.43
Merced,1/21/2020,103.37
Mono,1/21/2020,91.71
Monterey,1/21/2020,105.52
Napa,1/21/2020,98.79
Nevada,1/21/2020,91.23
Orange,1/21/2020,108.17
Placer,1/21/2020,100.19
Riverside,1/21/2020,105.64
Sacramento,1/21/2020,110.24
San Benito,1/21/2020,100.28
San Bernardino,1/21/2020,103.32
San Diego,1/21/2020,111.82
San Francisco,1/21/2020,96.43
San Joaquin,1/21/2020,100.17
San Luis Obispo,1/21/2020,107.82
San Mateo,1/21/2020,105.3
Santa Barbara,1/21/2020,108.23
Santa Clara,1/21/2020,104.74
Santa Cruz,1/21/2020,97.25
Shasta,1/21/2020,94.73
Siskiyou,1/21/2020,96.87
Solano,1/21/2020,99.42
Sonoma,1/21/2020,99.22
Stanislaus,1/21/2020,99.31
Sutter,1/21/2020,102.79
Tehama,1/21/2020,111.21
Tulare,1/21/2020,101.92
Tuolumne,1/21/2020,103.56
Ventura,1/21/2020,108.63
Yolo,1/21/2020,103.13
Yuba,1/21/2020,103.01
Alameda,1/22/2020,110.27
Amador,1/22/2020,110.16
Butte,1/22/2020,117.24
Calaveras,1/22/2020,94.67
Colusa,1/22/2020,96.21
Contra Costa,1/22/2020,108.26
Del Norte,1/22/2020,94.92
