model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
UA,6/22/2020,3 wk ahead cum death,7/11/2020,California,7088,7009,7168
UA,6/22/2020,4 wk ahead cum death,7/18/2020,California,7813,7699,7942
UCLA,6/22/2020,1 wk ahead cum death,6/27/2020,California,5874,5770,5986
UCLA,6/22/2020,2 wk ahead cum death,7/4/2020,California,6258,6031,6517
UCLA,6/22/2020,3 wk ahead cum death,7/11/2020,California,6602,6257,7012
UCLA,6/22/2020,4 wk ahead cum death,7/18/2020,California,6907,6452,7463
UMass-MB,6/22/2020,1 wk ahead cum death,6/27/2020,California,5926,5765,6157
UMass-MB,6/22/2020,2 wk ahead cum death,7/4/2020,California,6438,6102,6907
UMass-MB,6/22/2020,3 wk ahead cum death,7/11/2020,California,6972,6349,7973
UMass-MB,6/22/2020,4 wk ahead cum death,7/18/2020,California,7542,6551,9267
UT,6/22/2020,1 wk ahead cum death,6/27/2020,California,5920,5797,6078
UT,6/22/2020,2 wk ahead cum death,7/4/2020,California,6402,6165,6754
UT,6/22/2020,3 wk ahead cum death,7/11/2020,California,6899,6509,7513
UT,6/22/2020,4 wk ahead cum death,7/18/2020,California,7421,6836,8382
YYG,6/22/2020,1 wk ahead cum death,6/27/2020,California,5872,5696,6083
YYG,6/22/2020,2 wk ahead cum death,7/4/2020,California,6296,5896,6787
YYG,6/22/2020,3 wk ahead cum death,7/11/2020,California,6745,6089,7570
YYG,6/22/2020,4 wk ahead cum death,7/18/2020,California,7232,6273,8456
