date,admin_level,admin1,admin2,fips,samples,m50,m50_index
3/3/2020,2,California,Alameda,6001,18181,6.271,100
3/4/2020,2,California,Alameda,6001,18495,6.209,99
3/5/2020,2,California,Alameda,6001,17496,6.654,106
3/6/2020,2,California,Alameda,6001,16947,6.704,106
3/7/2020,2,California,Alameda,6001,16911,4.869,77
3/8/2020,2,California,Alameda,6001,17146,3.408,54
3/9/2020,2,California,Alameda,6001,18023,5.5,87
3/10/2020,2,California,Alameda,6001,16721,5.8,92
3/11/2020,2,California,Alameda,6001,17827,5.552,88
3/12/2020,2,California,Alameda,6001,17556,5.361,85
3/13/2020,2,California,Alameda,6001,16949,5.254,83
3/14/2020,2,California,Alameda,6001,16397,2.501,39
3/15/2020,2,California,Alameda,6001,15782,1.304,20
3/16/2020,2,California,Alameda,6001,14667,3.749,59
3/17/2020,2,California,Alameda,6001,15117,0.451,7
3/18/2020,2,California,Alameda,6001,13738,0.68,10
3/19/2020,2,California,Alameda,6001,13632,0.327,5
3/20/2020,2,California,Alameda,6001,11916,1.132,18
3/21/2020,2,California,Alameda,6001,10088,0.052,0
3/22/2020,2,California,Alameda,6001,12676,0.046,0
3/23/2020,2,California,Alameda,6001,13678,0.09,1
3/24/2020,2,California,Alameda,6001,14323,0.042,0
3/25/2020,2,California,Alameda,6001,13643,0.229,3
3/26/2020,2,California,Alameda,6001,14270,0.098,1
3/27/2020,2,California,Alameda,6001,13293,0.303,4
3/28/2020,2,California,Alameda,6001,13757,0.031,0
3/29/2020,2,California,Alameda,6001,14200,0.028,0
3/30/2020,2,California,Alameda,6001,14727,0.05,0
3/31/2020,2,California,Alameda,6001,14712,0.079,1
4/1/2020,2,California,Alameda,6001,14383,0.074,1
4/2/2020,2,California,Alameda,6001,14156,0.109,1
4/3/2020,2,California,Alameda,6001,13979,0.283,4
4/4/2020,2,California,Alameda,6001,13739,0.029,0
4/5/2020,2,California,Alameda,6001,15264,0.022,0
4/6/2020,2,California,Alameda,6001,13409,0.031,0
4/7/2020,2,California,Alameda,6001,13799,0.063,1
4/8/2020,2,California,Alameda,6001,14267,0.039,0
4/9/2020,2,California,Alameda,6001,13948,0.041,0
4/10/2020,2,California,Alameda,6001,12694,0.35,5
4/11/2020,2,California,Alameda,6001,13369,0.036,0
4/12/2020,2,California,Alameda,6001,13244,0.024,0
4/13/2020,2,California,Alameda,6001,13265,0.054,0
4/14/2020,2,California,Alameda,6001,14303,0.046,0
4/15/2020,2,California,Alameda,6001,15118,0.069,1
4/16/2020,2,California,Alameda,6001,14237,0.057,0
4/17/2020,2,California,Alameda,6001,13900,0.27,4
4/18/2020,2,California,Alameda,6001,13898,0.042,0
4/19/2020,2,California,Alameda,6001,12891,0.032,0
4/21/2020,2,California,Alameda,6001,17443,0.037,0
4/22/2020,2,California,Alameda,6001,17841,0.04,0
4/23/2020,2,California,Alameda,6001,18154,0.039,0
4/24/2020,2,California,Alameda,6001,18098,0.049,0
4/25/2020,2,California,Alameda,6001,17088,0.033,0
4/26/2020,2,California,Alameda,6001,17187,0.026,0
4/27/2020,2,California,Alameda,6001,17430,0.036,0
4/28/2020,2,California,Alameda,6001,18594,0.034,0
4/29/2020,2,California,Alameda,6001,16505,0.043,0
4/30/2020,2,California,Alameda,6001,19275,0.053,0
5/1/2020,2,California,Alameda,6001,17224,0.316,5
5/2/2020,2,California,Alameda,6001,19214,0.05,0
5/3/2020,2,California,Alameda,6001,18216,0.045,0
5/4/2020,2,California,Alameda,6001,12673,0.037,0
5/5/2020,2,California,Alameda,6001,12875,0.037,0
5/6/2020,2,California,Alameda,6001,12763,0.047,0
5/7/2020,2,California,Alameda,6001,14381,0.034,0
5/8/2020,2,California,Alameda,6001,12343,0.047,0
5/9/2020,2,California,Alameda,6001,13630,0.033,0
5/10/2020,2,California,Alameda,6001,13422,0.028,0
5/11/2020,2,California,Alameda,6001,12186,0.027,0
5/12/2020,2,California,Alameda,6001,13595,0.031,0
5/13/2020,2,California,Alameda,6001,10425,0.035,0
5/14/2020,2,California,Alameda,6001,10729,0.036,0
5/15/2020,2,California,Alameda,6001,19999,0.505,8
5/16/2020,2,California,Alameda,6001,20343,0.373,5
5/17/2020,2,California,Alameda,6001,20790,0.032,0
5/18/2020,2,California,Alameda,6001,21414,0.048,0
5/19/2020,2,California,Alameda,6001,19630,0.082,1
5/20/2020,2,California,Alameda,6001,19573,0.502,8
5/21/2020,2,California,Alameda,6001,20329,0.512,8
5/22/2020,2,California,Alameda,6001,21408,1.3,20
5/23/2020,2,California,Alameda,6001,20992,0.484,7
5/24/2020,2,California,Alameda,6001,21015,0.329,5
5/25/2020,2,California,Alameda,6001,19958,0.052,0
5/26/2020,2,California,Alameda,6001,20473,0.612,9
5/27/2020,2,California,Alameda,6001,19305,0.723,11
5/28/2020,2,California,Alameda,6001,18786,0.984,15
5/30/2020,2,California,Alameda,6001,15661,0.074,1
5/31/2020,2,California,Alameda,6001,15318,0.162,2
6/1/2020,2,California,Alameda,6001,22527,0.309,4
6/2/2020,2,California,Alameda,6001,16163,0.261,4
6/3/2020,2,California,Alameda,6001,21684,0.772,12
6/4/2020,2,California,Alameda,6001,19124,0.936,14
6/5/2020,2,California,Alameda,6001,17879,1.601,25
6/6/2020,2,California,Alameda,6001,19161,1.293,20
6/7/2020,2,California,Alameda,6001,18913,0.326,5
6/8/2020,2,California,Alameda,6001,20882,1.583,25
6/9/2020,2,California,Alameda,6001,18275,1.132,18
6/10/2020,2,California,Alameda,6001,19452,1.308,20
6/11/2020,2,California,Alameda,6001,19522,1.697,27
6/12/2020,2,California,Alameda,6001,18316,1.407,22
6/13/2020,2,California,Alameda,6001,18855,1.636,26
6/14/2020,2,California,Alameda,6001,15540,0.481,7
6/15/2020,2,California,Alameda,6001,16585,0.999,15
6/16/2020,2,California,Alameda,6001,16678,0.634,10
6/17/2020,2,California,Alameda,6001,18616,1.473,23
6/18/2020,2,California,Alameda,6001,16350,1.993,31
6/19/2020,2,California,Alameda,6001,21313,3.107,49
6/20/2020,2,California,Alameda,6001,15522,2.157,34
6/21/2020,2,California,Alameda,6001,16426,0.7,11
6/22/2020,2,California,Alameda,6001,16361,1.378,21
6/23/2020,2,California,Alameda,6001,16400,1.954,31
3/1/2020,2,California,Amador,6005,470,9.082,67
3/2/2020,2,California,Amador,6005,452,13.124,97
3/3/2020,2,California,Amador,6005,441,12.654,94
3/4/2020,2,California,Amador,6005,454,13.538,101
3/5/2020,2,California,Amador,6005,415,14.063,104
3/6/2020,2,California,Amador,6005,432,13.398,100
3/7/2020,2,California,Amador,6005,465,11.558,86
3/8/2020,2,California,Amador,6005,460,11.363,84
3/9/2020,2,California,Amador,6005,456,13.473,100
3/10/2020,2,California,Amador,6005,427,13.22,98
3/11/2020,2,California,Amador,6005,434,12.522,93
3/12/2020,2,California,Amador,6005,416,12.452,92
3/13/2020,2,California,Amador,6005,435,12.018,89
3/14/2020,2,California,Amador,6005,461,4.143,30
3/15/2020,2,California,Amador,6005,434,3.468,25
3/16/2020,2,California,Amador,6005,364,6.066,45
3/17/2020,2,California,Amador,6005,366,5.17,38
3/18/2020,2,California,Amador,6005,349,6.363,47
3/19/2020,2,California,Amador,6005,343,4.306,32
3/20/2020,2,California,Amador,6005,317,7.208,53
3/21/2020,2,California,Amador,6005,278,1.536,11
3/22/2020,2,California,Amador,6005,348,0.154,1
3/23/2020,2,California,Amador,6005,367,2.008,14
3/24/2020,2,California,Amador,6005,390,2.175,16
3/25/2020,2,California,Amador,6005,386,1.273,9
3/26/2020,2,California,Amador,6005,376,2.322,17
3/27/2020,2,California,Amador,6005,380,2.052,15
3/28/2020,2,California,Amador,6005,387,0.066,0
3/29/2020,2,California,Amador,6005,399,0.209,1
3/30/2020,2,California,Amador,6005,406,2.368,17
3/31/2020,2,California,Amador,6005,407,2.191,16
4/1/2020,2,California,Amador,6005,404,2.346,17
