county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Inyo,5/20/2020,-30,,-16,,-32,
Inyo,5/21/2020,-29,,-20,,-32,
Inyo,5/22/2020,-30,,-15,,-34,
Inyo,5/23/2020,-22,,-5,,-23,
Inyo,5/24/2020,-35,,33,,-31,
Inyo,5/25/2020,-27,,18,,-62,
Inyo,5/26/2020,-27,,-24,,-30,
Inyo,5/27/2020,-29,,-13,,-35,
Inyo,5/28/2020,-28,,-21,,-31,
Inyo,5/29/2020,-36,,-24,,-30,
Kern,2/15/2020,5,4,55,11,-5,0
Kern,2/16/2020,6,2,65,7,-2,-1
Kern,2/17/2020,9,0,49,16,-36,7
Kern,2/18/2020,3,-1,16,5,1,0
Kern,2/19/2020,4,0,20,7,2,0
Kern,2/20/2020,7,3,21,5,1,0
Kern,2/21/2020,3,-2,31,4,3,0
Kern,2/22/2020,3,-1,6,-2,-2,1
Kern,2/23/2020,6,0,45,9,-1,-1
Kern,2/24/2020,3,0,23,2,4,0
Kern,2/25/2020,7,3,26,3,1,0
Kern,2/26/2020,14,5,22,6,2,-1
Kern,2/27/2020,14,7,21,5,2,-1
Kern,2/28/2020,12,5,24,7,5,-2
Kern,2/29/2020,13,6,42,7,0,-1
Kern,3/1/2020,14,7,29,12,0,-2
Kern,3/2/2020,16,8,21,4,4,-1
Kern,3/3/2020,18,12,30,4,2,-1
Kern,3/4/2020,13,9,24,3,2,-1
Kern,3/5/2020,14,11,22,5,3,-1
Kern,3/6/2020,6,4,30,5,4,-1
Kern,3/7/2020,7,4,23,0,2,-1
Kern,3/8/2020,10,5,47,8,1,-1
Kern,3/9/2020,8,8,26,0,3,0
Kern,3/10/2020,4,2,-17,-5,0,2
Kern,3/11/2020,11,10,6,-2,1,1
Kern,3/12/2020,10,22,10,3,1,0
Kern,3/13/2020,4,27,12,-1,3,0
Kern,3/14/2020,-2,22,5,-4,-1,2
Kern,3/15/2020,-3,18,27,1,0,1
Kern,3/16/2020,-3,26,-23,-6,-4,5
Kern,3/17/2020,-4,26,-4,-2,-10,6
Kern,3/18/2020,-13,16,-3,-4,-26,9
Kern,3/19/2020,-19,16,-18,-11,-29,11
Kern,3/20/2020,-32,4,-9,-19,-33,14
Kern,3/21/2020,-40,-5,-19,-24,-21,11
Kern,3/22/2020,-43,-13,-2,-32,-25,9
Kern,3/23/2020,-31,-8,-2,-27,-39,15
Kern,3/24/2020,-34,-10,-14,-23,-42,16
Kern,3/25/2020,-34,-12,-29,-24,-43,16
Kern,3/26/2020,-35,-10,-18,-26,-43,16
Kern,3/27/2020,-40,-13,-3,-30,-39,17
Kern,3/28/2020,-41,-14,-23,-34,-25,12
Kern,3/29/2020,-43,-17,-16,-37,-30,11
Kern,3/30/2020,-32,-12,-1,-30,-41,15
Kern,3/31/2020,-30,-9,-8,-24,-44,15
Kern,4/1/2020,-26,-4,-12,-24,-43,15
Kern,4/2/2020,-29,-2,-15,-25,-44,16
Kern,4/3/2020,-33,-3,-4,-31,-42,16
Kern,4/4/2020,-38,-3,-22,-33,-27,12
Kern,4/5/2020,-43,-13,-27,-40,-32,11
Kern,4/6/2020,-35,-9,-33,-35,-46,19
Kern,4/7/2020,-36,-11,-30,-31,-46,18
Kern,4/8/2020,-42,-17,-59,-36,-49,20
Kern,4/9/2020,-39,-9,-46,-34,-49,21
Kern,4/10/2020,-38,-7,-16,-35,-47,20
Kern,4/11/2020,-39,-2,-24,-37,-29,13
Kern,4/12/2020,-57,-18,-19,-40,-32,10
Kern,4/13/2020,-35,-16,-9,-31,-44,15
Kern,4/14/2020,-31,-11,-7,-25,-44,15
Kern,4/15/2020,-28,-6,-7,-21,-43,14
Kern,4/16/2020,-37,-5,-6,-23,-43,15
Kern,4/17/2020,-44,-13,-20,-31,-40,17
Kern,4/18/2020,-44,-10,-30,-31,-24,12
Kern,4/19/2020,-44,-12,3,-30,-26,9
Kern,4/20/2020,-38,-10,-5,-25,-41,14
Kern,4/21/2020,-38,-9,-7,-21,-43,15
Kern,4/22/2020,-37,-9,1,-20,-43,14
Kern,4/23/2020,-38,-6,0,-21,-43,14
Kern,4/24/2020,-41,-9,10,-26,-40,15
Kern,4/25/2020,-41,-4,-2,-25,-22,10
Kern,4/26/2020,-40,-8,10,-27,-26,8
Kern,4/27/2020,-32,-5,8,-23,-39,13
Kern,4/28/2020,-33,-4,9,-17,-41,6
Kern,4/29/2020,-31,-5,-1,-18,-42,13
Kern,4/30/2020,-28,2,6,-16,-41,13
Kern,5/1/2020,-32,1,12,-20,-38,13
Kern,5/2/2020,-33,5,5,-19,-20,8
Kern,5/3/2020,-33,1,21,-19,-22,7
Kern,5/4/2020,-26,2,17,-19,-37,11
Kern,5/5/2020,-27,5,13,-11,-39,12
Kern,5/6/2020,-29,0,11,-15,-39,12
Kern,5/7/2020,-29,4,9,-14,-39,12
Kern,5/8/2020,-34,2,18,-17,-36,12
Kern,5/9/2020,-32,15,5,-13,-17,7
Kern,5/10/2020,-35,16,15,-11,-16,4
Kern,5/11/2020,-29,-2,14,-15,-36,11
Kern,5/12/2020,-29,0,12,-14,-38,12
Kern,5/13/2020,-27,0,13,-13,-38,11
Kern,5/14/2020,-29,2,17,-14,-38,11
Kern,5/15/2020,-33,-2,27,-13,-36,12
Kern,5/16/2020,-34,3,21,-11,-17,7
Kern,5/17/2020,-33,0,41,-12,-18,6
Kern,5/18/2020,-26,-1,4,-14,-35,12
Kern,5/19/2020,-26,1,20,-12,-37,12
Kern,5/20/2020,-25,2,24,-10,-36,11
Kern,5/21/2020,-25,6,22,-8,-36,11
Kern,5/22/2020,-28,1,34,-5,-33,11
Kern,5/23/2020,-27,7,31,-3,-13,5
Kern,5/24/2020,-26,7,73,-6,-17,4
Kern,5/25/2020,-27,1,54,-11,-63,16
Kern,5/26/2020,-22,1,11,-7,-35,10
Kern,5/27/2020,-21,0,7,-9,-34,10
Kern,5/28/2020,-21,3,9,-12,-35,10
Kern,5/29/2020,-27,-1,20,-12,-32,10
Kings,2/15/2020,7,-1,14,16,-3,-1
Kings,2/16/2020,10,1,68,11,-3,-2
Kings,2/17/2020,13,0,37,-2,-44,8
Kings,2/18/2020,2,1,15,5,1,0
Kings,2/19/2020,4,3,25,7,0,0
Kings,2/20/2020,3,2,22,9,1,0
Kings,2/21/2020,-1,-5,37,8,6,-1
Kings,2/22/2020,6,-1,6,-2,-2,0
Kings,2/23/2020,10,-1,57,18,2,-1
Kings,2/24/2020,-3,-1,28,-4,3,0
Kings,2/25/2020,9,-1,34,-2,0,0
Kings,2/26/2020,12,4,32,-1,0,-1
Kings,2/27/2020,12,5,26,2,0,-1
Kings,2/28/2020,10,4,34,7,5,-2
Kings,2/29/2020,16,6,23,5,3,-3
Kings,3/1/2020,23,4,28,22,-1,-3
Kings,3/2/2020,8,6,35,2,2,-2
Kings,3/3/2020,19,11,31,0,0,-2
Kings,3/4/2020,14,5,16,-1,2,-1
Kings,3/5/2020,12,9,34,-3,1,-1
Kings,3/6/2020,5,6,47,3,4,-1
Kings,3/7/2020,10,4,-4,4,0,-2
Kings,3/8/2020,16,4,52,26,2,-2
Kings,3/9/2020,1,7,25,-1,2,-1
Kings,3/10/2020,5,3,-7,-7,0,0
Kings,3/11/2020,9,9,15,-6,0,0
Kings,3/12/2020,9,20,24,-8,-1,0
Kings,3/13/2020,5,37,25,-13,3,-1
Kings,3/14/2020,1,29,-22,-18,-3,1
Kings,3/15/2020,-5,13,-3,-18,-6,3
Kings,3/16/2020,-20,12,-45,-24,-20,9
Kings,3/17/2020,-7,15,-7,-18,-21,8
Kings,3/18/2020,-13,17,-10,-21,-24,8
Kings,3/19/2020,-18,12,-23,-28,-26,11
Kings,3/20/2020,-32,6,4,-28,-28,12
Kings,3/21/2020,-37,-5,-39,-48,-20,11
Kings,3/22/2020,-38,-14,0,-45,-25,9
Kings,3/23/2020,-36,-12,-3,-34,-32,13
Kings,3/24/2020,-28,-10,-24,-39,-34,14
Kings,3/25/2020,-32,-14,-44,-40,-36,15
Kings,3/26/2020,-29,-6,-16,-38,-35,14
Kings,3/27/2020,-36,-7,18,-43,-33,15
Kings,3/28/2020,-36,-10,-38,-48,-24,11
Kings,3/29/2020,-34,-14,-12,-43,-27,10
Kings,3/30/2020,-38,-13,-5,-37,-34,13
Kings,3/31/2020,-22,-7,1,-39,-38,14
Kings,4/1/2020,-22,0,-23,-32,-36,12
Kings,4/2/2020,-24,0,-12,-43,-37,14
Kings,4/3/2020,-30,-2,-9,-40,-33,14
Kings,4/4/2020,-33,-1,-42,-40,-23,10
Kings,4/5/2020,-36,-12,-52,-59,-28,11
Kings,4/6/2020,-38,-8,-45,-39,-39,16
Kings,4/7/2020,-30,-9,-31,-41,-39,15
Kings,4/8/2020,-33,-10,-48,-37,-40,15
Kings,4/9/2020,-30,-2,-41,-47,-42,18
Kings,4/10/2020,-33,-4,-12,-44,-40,17
Kings,4/11/2020,-34,3,-39,-49,-27,11
Kings,4/12/2020,-54,-19,-15,-45,-29,9
Kings,4/13/2020,-37,-16,-18,-31,-38,13
Kings,4/14/2020,-24,-8,-15,-33,-37,13
Kings,4/15/2020,-23,-6,-17,-33,-36,12
Kings,4/16/2020,-31,-4,-23,-38,-37,14
Kings,4/17/2020,-39,-10,-21,-39,-33,15
Kings,4/18/2020,-36,-6,-39,-42,-22,11
Kings,4/19/2020,-34,-10,-2,-39,-23,9
Kings,4/20/2020,-40,-11,-19,-36,-35,13
Kings,4/21/2020,-31,-5,-23,-29,-36,13
Kings,4/22/2020,-32,-8,-22,-31,-36,13
Kings,4/23/2020,-32,-5,-7,-29,-37,14
Kings,4/24/2020,-37,-5,8,-35,-35,14
Kings,4/25/2020,-34,-5,-35,-36,-20,9
Kings,4/26/2020,-33,-8,-5,-26,-21,8
Kings,4/27/2020,-37,-6,4,-24,-34,12
Kings,4/28/2020,-28,-6,-13,-29,-35,6
Kings,4/29/2020,-27,-4,-29,-28,-36,12
Kings,4/30/2020,-23,2,-8,-27,-36,12
Kings,5/1/2020,-29,3,-3,-29,-32,12
Kings,5/2/2020,-25,4,-23,-25,-17,7
Kings,5/3/2020,-24,-2,3,-26,-18,6
Kings,5/4/2020,-32,-2,0,-28,-31,9
Kings,5/5/2020,-24,5,-11,-25,-35,11
Kings,5/6/2020,-25,-4,-19,-24,-35,11
Kings,5/7/2020,-25,7,-11,-30,-35,11
Kings,5/8/2020,-30,2,4,-27,-32,11
Kings,5/9/2020,-23,16,-35,-19,-19,6
Kings,5/10/2020,-26,18,-13,-23,-17,4
Kings,5/11/2020,-33,-5,0,-25,-32,10
Kings,5/12/2020,-25,2,4,-25,-34,10
Kings,5/13/2020,-23,-1,-11,-31,-34,10
Kings,5/14/2020,-23,4,9,-24,-34,11
Kings,5/15/2020,-27,-1,11,-25,-31,11
Kings,5/16/2020,-24,1,-20,-22,-15,6
Kings,5/17/2020,-21,-3,7,-19,-20,6
Kings,5/18/2020,-29,-4,-19,-22,-30,10
Kings,5/19/2020,-20,0,0,-27,-32,10
Kings,5/20/2020,-18,2,-5,-21,-32,9
Kings,5/21/2020,-17,6,2,-17,-33,10
Kings,5/22/2020,-21,2,7,-20,-32,10
Kings,5/23/2020,-19,8,-21,-9,-14,4
Kings,5/24/2020,-16,4,10,7,-21,3
Kings,5/25/2020,-26,-1,-13,-28,-62,16
Kings,5/26/2020,-16,2,-10,-17,-30,10
Kings,5/27/2020,-16,-1,-26,-20,-30,9
Kings,5/28/2020,-17,3,-20,-23,-29,10
Kings,5/29/2020,-22,-1,-6,-21,-24,10
Lake,2/15/2020,5,18,21,,-6,-1
Lake,2/16/2020,13,11,61,,1,-1
Lake,2/17/2020,1,12,30,-34,-36,6
Lake,2/18/2020,1,10,29,6,0,0
Lake,2/19/2020,2,11,16,4,1,0
Lake,2/20/2020,3,8,9,0,0,1
Lake,2/21/2020,0,11,14,-6,0,0
Lake,2/22/2020,7,17,45,,-1,-1
Lake,2/23/2020,11,10,34,,0,0
Lake,2/24/2020,5,14,12,-6,2,0
Lake,2/25/2020,0,6,25,-11,2,0
Lake,2/26/2020,7,19,26,-2,2,-2
Lake,2/27/2020,8,12,44,-2,0,0
Lake,2/28/2020,7,23,23,-4,3,-2
Lake,2/29/2020,13,23,14,,0,-2
Lake,3/1/2020,11,18,20,,-4,-1
Lake,3/2/2020,10,15,25,-12,1,-1
Lake,3/3/2020,14,28,46,4,1,-2
Lake,3/4/2020,10,22,43,-6,1,-1
Lake,3/5/2020,7,18,53,-8,1,-1
Lake,3/6/2020,0,16,8,-4,1,-1
Lake,3/7/2020,6,18,2,,-5,0
Lake,3/8/2020,7,16,28,,0,0
Lake,3/9/2020,7,22,33,-12,1,0
Lake,3/10/2020,4,19,49,-11,2,0
Lake,3/11/2020,5,26,49,-6,3,-1
Lake,3/12/2020,3,17,47,-12,1,0
Lake,3/13/2020,1,28,23,-10,2,1
Lake,3/14/2020,-5,24,-23,,-6,3
Lake,3/15/2020,-4,24,-14,,-4,3
Lake,3/16/2020,-2,32,-6,-32,-11,4
Lake,3/17/2020,-11,27,-2,-32,-17,6
Lake,3/18/2020,-12,33,-1,-26,-22,8
Lake,3/19/2020,-31,-1,14,-33,-30,12
Lake,3/20/2020,-35,4,-8,-36,-33,14
Lake,3/21/2020,-33,2,6,,-31,
Lake,3/22/2020,-35,-3,-7,,-30,
Lake,3/23/2020,-30,-7,-25,-38,-34,13
Lake,3/24/2020,-37,-9,-41,-49,-40,15
Lake,3/25/2020,-35,-1,-30,-40,-38,14
Lake,3/26/2020,-35,-7,-20,-45,-40,15
Lake,3/27/2020,-37,-1,-37,-46,-40,16
Lake,3/28/2020,-41,-7,-53,-42,-38,
Lake,3/29/2020,-38,-13,-42,,-33,
Lake,3/30/2020,-35,-6,-42,-50,-37,14
Lake,3/31/2020,-33,6,-29,-34,-38,13
Lake,4/1/2020,-26,16,-30,-34,-39,13
Lake,4/2/2020,-30,8,-17,-43,-40,14
Lake,4/3/2020,-32,15,-33,-34,-40,15
Lake,4/4/2020,-42,-3,-62,-32,-40,
Lake,4/5/2020,-39,-2,-49,,-38,
Lake,4/6/2020,-30,1,-34,-44,-42,15
Lake,4/7/2020,-37,3,-33,-47,-45,15
Lake,4/8/2020,-35,1,-23,-32,-41,13
Lake,4/9/2020,-36,-6,-30,-43,-44,16
Lake,4/10/2020,-37,7,-45,-42,-43,17
Lake,4/11/2020,-33,5,-40,,-36,
Lake,4/12/2020,-46,-19,-46,,-34,
Lake,4/13/2020,-25,-5,-23,-34,-40,13
Lake,4/14/2020,-29,-7,-30,-33,-39,13
Lake,4/15/2020,-28,2,-28,-37,-39,13
Lake,4/16/2020,-42,-6,-36,-31,-39,14
Lake,4/17/2020,-43,-3,-38,-32,-39,16
Lake,4/18/2020,-40,-6,-49,-24,-30,
Lake,4/19/2020,-37,-5,-36,,-32,
Lake,4/20/2020,-39,-5,-40,-39,-38,13
Lake,4/21/2020,-36,-1,-29,-24,-37,12
Lake,4/22/2020,-39,0,-42,-24,-37,13
Lake,4/23/2020,-40,-4,-25,-33,-37,13
Lake,4/24/2020,-41,0,-19,-24,-39,14
Lake,4/25/2020,-34,5,-10,-25,-33,
Lake,4/26/2020,-28,6,6,,-27,
Lake,4/27/2020,-30,7,-9,-24,-34,12
Lake,4/28/2020,-30,7,5,-21,-34,3
Lake,4/29/2020,-26,3,-12,-27,-36,12
Lake,4/30/2020,-24,-1,3,-26,-36,12
Lake,5/1/2020,-22,12,-4,-15,-35,12
Lake,5/2/2020,-21,3,-16,,-28,8
Lake,5/3/2020,-11,5,14,,-21,
Lake,5/4/2020,-16,6,0,-26,-31,9
Lake,5/5/2020,-21,8,8,-30,-32,10
Lake,5/6/2020,-21,10,4,-25,-33,10
Lake,5/7/2020,-22,7,9,-26,-34,11
Lake,5/8/2020,-24,7,-9,-30,-34,12
Lake,5/9/2020,-12,23,16,,-24,6
Lake,5/10/2020,-5,26,20,,-21,
Lake,5/11/2020,-19,3,-29,-37,-32,11
Lake,5/12/2020,-20,1,,-19,-33,11
Lake,5/13/2020,-21,10,-14,-32,-32,12
Lake,5/14/2020,-23,0,-10,-36,-35,11
Lake,5/15/2020,-22,6,16,-12,-32,11
Lake,5/16/2020,-18,9,2,,-25,8
Lake,5/17/2020,-15,7,-12,,-22,
Lake,5/18/2020,-16,6,-1,-30,-28,11
Lake,5/19/2020,-17,5,,-17,-28,9
Lake,5/20/2020,-16,13,20,-17,-29,9
Lake,5/21/2020,-14,6,35,-35,-30,9
Lake,5/22/2020,-16,9,33,-20,-30,9
Lake,5/23/2020,-9,21,79,,-18,5
Lake,5/24/2020,2,22,113,,-17,
Lake,5/25/2020,-19,3,91,-39,-60,14
Lake,5/26/2020,-14,8,,-14,-28,8
Lake,5/27/2020,-12,15,33,-16,-28,8
Lake,5/28/2020,-14,7,50,-21,-27,9
Lake,5/29/2020,-17,6,26,-16,-27,10
Lassen,2/15/2020,9,-1,,,-4,
Lassen,2/16/2020,11,11,,,-4,
Lassen,2/17/2020,10,-2,,,-48,
Lassen,2/18/2020,6,1,,,10,
Lassen,2/19/2020,-1,-4,,,7,
Lassen,2/20/2020,-1,9,,,7,
Lassen,2/21/2020,4,3,,,4,
Lassen,2/22/2020,10,-2,,,1,
Lassen,2/23/2020,15,20,,,10,
Lassen,2/24/2020,3,10,,,9,
Lassen,2/25/2020,12,8,,,12,
Lassen,2/26/2020,11,-5,,,6,
Lassen,2/27/2020,11,7,,,8,
Lassen,2/28/2020,16,6,,,9,
Lassen,2/29/2020,16,5,,,-3,
Lassen,3/1/2020,23,28,,,1,
Lassen,3/2/2020,28,11,,,8,
Lassen,3/3/2020,24,19,,,12,
Lassen,3/4/2020,16,3,,,10,
Lassen,3/5/2020,11,6,,,9,
Lassen,3/6/2020,8,6,,,9,
Lassen,3/7/2020,6,8,,,-1,
Lassen,3/8/2020,21,25,,,4,
Lassen,3/9/2020,16,12,,,11,
Lassen,3/10/2020,10,10,,,11,
Lassen,3/11/2020,10,12,,,11,
Lassen,3/12/2020,11,16,,,6,
Lassen,3/13/2020,11,34,,,7,
Lassen,3/14/2020,-9,16,,,0,
Lassen,3/15/2020,-11,15,,,1,
Lassen,3/16/2020,-8,23,,,-2,
Lassen,3/17/2020,-31,14,,,-3,
Lassen,3/18/2020,-12,19,,,-1,
Lassen,3/19/2020,-16,28,,,-13,
Lassen,3/20/2020,-23,29,,,-23,
Lassen,3/21/2020,-32,14,,,-12,
Lassen,3/22/2020,-27,17,,,-7,
Lassen,3/23/2020,-25,5,,,-21,
Lassen,3/24/2020,-34,-4,,,-22,
Lassen,3/25/2020,-33,-11,,,-26,
Lassen,3/26/2020,-34,-5,,,-24,
Lassen,3/27/2020,-35,4,,,-28,
Lassen,3/28/2020,-36,2,,,-20,
Lassen,3/29/2020,-30,-8,,,-22,
Lassen,3/30/2020,-24,-3,,,-22,
Lassen,3/31/2020,-25,6,,,-31,
Lassen,4/1/2020,-20,12,,,-27,
Lassen,4/2/2020,-28,10,,,-31,
Lassen,4/3/2020,-26,16,,,-31,
Lassen,4/4/2020,-39,8,,,-28,
Lassen,4/5/2020,-37,-3,,,-19,
Lassen,4/6/2020,,,,,-32,
Lassen,4/7/2020,,,,,-33,
Lassen,4/8/2020,,,,,-35,
Lassen,4/9/2020,,,,,-33,
Lassen,4/10/2020,,,,,-32,
Lassen,4/11/2020,,,,,-19,
Lassen,4/12/2020,,,,,-15,
Lassen,4/13/2020,,,,,-32,
Lassen,4/14/2020,,,,,-28,
Lassen,4/15/2020,,,,,-28,
Lassen,4/16/2020,,,,,-30,
Lassen,4/17/2020,-39,,,,-29,
Lassen,4/18/2020,,,,,-21,
Lassen,4/19/2020,,,,,-17,
Lassen,4/20/2020,,,,,-25,
Lassen,4/21/2020,,,,,-28,
Lassen,4/22/2020,,,,,-26,
Lassen,4/23/2020,,,,,-29,
Lassen,4/24/2020,-36,,,,-26,
Lassen,4/25/2020,,,,,-15,
Lassen,4/26/2020,,,,,-12,
Lassen,4/27/2020,,,,,-25,
Lassen,4/28/2020,,,,,-27,
Lassen,4/29/2020,,,,,-26,
Lassen,4/30/2020,,,,,-25,
Lassen,5/1/2020,,,,,-26,
Lassen,5/2/2020,,,,,-15,
Lassen,5/3/2020,,,,,-9,
Lassen,5/4/2020,,,,,-22,
Lassen,5/5/2020,,,,,-24,
Lassen,5/6/2020,,,,,-23,
Lassen,5/7/2020,,,,,-23,
Lassen,5/8/2020,,,,,-21,
Lassen,5/9/2020,,,,,-16,
Lassen,5/10/2020,,,,,-8,
Lassen,5/11/2020,,,,,-23,
Lassen,5/12/2020,,,,,-25,
Lassen,5/13/2020,,,,,-23,
Lassen,5/14/2020,-25,17,,,-22,
Lassen,5/15/2020,-31,15,,,-19,
Lassen,5/16/2020,-21,30,,,-4,
Lassen,5/17/2020,,,,,-5,
Lassen,5/18/2020,-21,26,,,-20,
Lassen,5/19/2020,-22,21,,,-20,
Lassen,5/20/2020,-20,16,,,-19,
Lassen,5/21/2020,-20,25,,,-21,
Lassen,5/22/2020,-16,28,,,-25,
Lassen,5/23/2020,-16,38,,,-7,
Lassen,5/24/2020,,,,,-12,
Lassen,5/25/2020,-8,36,,,-64,
Lassen,5/26/2020,-13,28,,,-21,
Lassen,5/27/2020,-19,17,,,-23,
Lassen,5/28/2020,-14,31,,,-23,
Lassen,5/29/2020,-22,24,,,-22,
Los Angeles,2/15/2020,1,0,13,-1,-1,0
Los Angeles,2/16/2020,4,-1,27,-1,0,-1
Los Angeles,2/17/2020,7,0,30,-11,-32,7
Los Angeles,2/18/2020,-1,0,11,2,2,0
Los Angeles,2/19/2020,-1,-1,13,1,2,0
Los Angeles,2/20/2020,1,0,11,2,2,-1
Los Angeles,2/21/2020,1,0,7,0,2,0
Los Angeles,2/22/2020,-1,-1,-13,-5,1,1
Los Angeles,2/23/2020,4,1,13,0,2,0
Los Angeles,2/24/2020,1,-1,8,2,4,-1
Los Angeles,2/25/2020,2,1,13,3,3,-1
Los Angeles,2/26/2020,3,2,11,2,3,-1
Los Angeles,2/27/2020,3,2,14,3,2,-1
Los Angeles,2/28/2020,4,4,10,2,3,-1
Los Angeles,2/29/2020,3,4,11,0,2,-1
Los Angeles,3/1/2020,4,3,-5,-3,1,0
Los Angeles,3/2/2020,5,5,8,1,4,-1
Los Angeles,3/3/2020,8,7,32,2,3,-1
Los Angeles,3/4/2020,4,6,9,-1,2,0
Los Angeles,3/5/2020,4,7,9,0,2,0
Los Angeles,3/6/2020,3,6,7,-2,2,0
Los Angeles,3/7/2020,1,6,3,-4,2,0
Los Angeles,3/8/2020,3,4,16,-4,1,0
Los Angeles,3/9/2020,3,7,6,-4,3,0
Los Angeles,3/10/2020,-3,3,-29,-13,-2,3
Los Angeles,3/11/2020,2,11,5,-6,0,1
Los Angeles,3/12/2020,-8,12,-35,-19,-3,4
Los Angeles,3/13/2020,-5,37,-37,-21,-7,6
Los Angeles,3/14/2020,-14,27,-47,-23,-7,7
Los Angeles,3/15/2020,-16,12,-22,-21,-9,6
Los Angeles,3/16/2020,-19,12,-40,-29,-22,11
Los Angeles,3/17/2020,-24,8,-21,-30,-29,14
Los Angeles,3/18/2020,-28,3,-12,-33,-33,16
Los Angeles,3/19/2020,-32,3,-30,-39,-35,18
Los Angeles,3/20/2020,-40,-5,-29,-44,-41,22
Los Angeles,3/21/2020,-48,-13,-28,-46,-34,18
Los Angeles,3/22/2020,-52,-26,-36,-54,-38,16
Los Angeles,3/23/2020,-42,-19,-32,-49,-47,22
Los Angeles,3/24/2020,-43,-20,-34,-50,-49,23
Los Angeles,3/25/2020,-43,-20,-34,-50,-49,23
Los Angeles,3/26/2020,-43,-20,-35,-51,-50,24
Los Angeles,3/27/2020,-45,-19,-34,-51,-49,25
Los Angeles,3/28/2020,-50,-21,-52,-52,-39,20
Los Angeles,3/29/2020,-51,-27,-48,-54,-41,17
Los Angeles,3/30/2020,-42,-23,-34,-52,-51,22
Los Angeles,3/31/2020,-42,-22,-38,-50,-51,23
Los Angeles,4/1/2020,-41,-18,-34,-49,-52,23
Los Angeles,4/2/2020,-43,-19,-39,-52,-52,25
Los Angeles,4/3/2020,-43,-15,-38,-51,-51,25
Los Angeles,4/4/2020,-50,-20,-54,-51,-41,20
Los Angeles,4/5/2020,-53,-27,-59,-57,-43,17
Los Angeles,4/6/2020,-49,-27,-58,-59,-54,25
Los Angeles,4/7/2020,-51,-30,-58,-58,-54,26
Los Angeles,4/8/2020,-49,-27,-51,-57,-55,26
Los Angeles,4/9/2020,-55,-34,-69,-65,-57,29
Los Angeles,4/10/2020,-49,-22,-55,-58,-57,29
Los Angeles,4/11/2020,-51,-19,-54,-52,-43,20
Los Angeles,4/12/2020,-64,-38,-69,-60,-46,18
Los Angeles,4/13/2020,-47,-28,-47,-54,-51,23
Los Angeles,4/14/2020,-45,-25,-38,-51,-51,24
Los Angeles,4/15/2020,-47,-21,-36,-50,-51,24
Los Angeles,4/16/2020,-55,-20,-38,-51,-51,24
Los Angeles,4/17/2020,-56,-19,-42,-52,-50,25
Los Angeles,4/18/2020,-59,-21,-56,-50,-38,19
Los Angeles,4/19/2020,-60,-25,-50,-53,-39,16
Los Angeles,4/20/2020,-54,-22,-38,-50,-49,22
Los Angeles,4/21/2020,-54,-21,-35,-51,-50,23
Los Angeles,4/22/2020,-54,-20,-33,-51,-50,23
Los Angeles,4/23/2020,-54,-19,-35,-51,-51,24
Los Angeles,4/24/2020,-54,-16,-37,-51,-49,24
Los Angeles,4/25/2020,-57,-16,-48,-48,-37,17
Los Angeles,4/26/2020,-57,-21,-45,-52,-39,15
Los Angeles,4/27/2020,-52,-19,-32,-49,-48,21
Los Angeles,4/28/2020,-52,-18,-32,-48,-49,14
Los Angeles,4/29/2020,-50,-19,-34,-49,-49,22
Los Angeles,4/30/2020,-48,-16,-33,-48,-50,22
Los Angeles,5/1/2020,-48,-12,-30,-46,-48,23
Los Angeles,5/2/2020,-51,-11,-41,-43,-35,16
Los Angeles,5/3/2020,-51,-17,-35,-47,-34,13
Los Angeles,5/4/2020,-46,-15,-26,-46,-46,19
Los Angeles,5/5/2020,-46,-11,-25,-45,-47,20
Los Angeles,5/6/2020,-47,-14,-26,-47,-48,21
Los Angeles,5/7/2020,-46,-12,-26,-47,-48,21
Los Angeles,5/8/2020,-46,-8,-23,-45,-46,21
Los Angeles,5/9/2020,-47,1,-32,-39,-32,14
Los Angeles,5/10/2020,-48,-4,-30,-40,-31,10
Los Angeles,5/11/2020,-46,-18,-20,-46,-45,19
Los Angeles,5/12/2020,-46,-14,-21,-45,-46,20
Los Angeles,5/13/2020,-45,-14,-16,-44,-46,20
Los Angeles,5/14/2020,-45,-14,-17,-45,-46,21
Los Angeles,5/15/2020,-46,-11,-14,-44,-45,21
Los Angeles,5/16/2020,-48,-10,-22,-40,-30,14
Los Angeles,5/17/2020,-48,-15,-13,-44,-30,12
Los Angeles,5/18/2020,-45,-18,-33,-49,-44,19
Los Angeles,5/19/2020,-42,-13,-13,-44,-44,19
Los Angeles,5/20/2020,-42,-11,-10,-43,-44,19
Los Angeles,5/21/2020,-42,-10,-10,-43,-44,19
Los Angeles,5/22/2020,-43,-8,-10,-43,-42,19
Los Angeles,5/23/2020,-46,-7,-18,-39,-28,12
Los Angeles,5/24/2020,-47,-11,-2,-43,-29,10
Los Angeles,5/25/2020,-46,-13,16,-52,-72,24
Los Angeles,5/26/2020,-43,-13,-12,-43,-42,18
Los Angeles,5/27/2020,-42,-13,-8,-42,-42,18
Los Angeles,5/28/2020,-41,-12,-10,-43,-42,19
Los Angeles,5/29/2020,-43,-12,-13,-42,-40,19
